address,parking,type,num_schools,cost,suburb,beds,baths,cost/(beds+baths)
"505/499 St Kilda Road, Melbourne VIC 3004",0,Apartment / Unit / Flat,12,500.0,Melbourne,1,1,250.0
"311/162 Rosslyn Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,500.0,West Melbourne,1,1,250.0
"4508/7 Riverside Quay, Southbank VIC 3006",1,Apartment / Unit / Flat,9,1250.0,Southbank,2,2,312.5
"311/23 Batman St, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,520.0,West Melbourne,1,1,260.0
"1313/568 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,500.0,Melbourne,1,1,250.0
"1410/83 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,500.0,Melbourne,1,1,250.0
"18/44 Chetwynd Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,10,500.0,West Melbourne,1,1,250.0
"605/12 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,500.0,Melbourne,1,1,250.0
"1203/57 City Road, Southbank VIC 3006",2,Apartment / Unit / Flat,9,1250.0,Southbank,3,2,250.0
"3301/100 Harbour Esplanade, Docklands VIC 3008",2,Apartment / Unit / Flat,9,1250.0,Docklands,3,2,250.0
